Rank	Node
0	frontier00092
1	frontier00093
2	frontier00094
3	frontier00095
4	frontier00097
5	frontier00098
6	frontier00099
7	frontier00100
8	frontier00102
9	frontier00103
10	frontier00107
11	frontier00111
12	frontier00115
13	frontier00215
14	frontier00217
15	frontier00218
16	frontier00219
17	frontier00220
18	frontier00223
19	frontier00224
20	frontier00225
21	frontier00226
22	frontier00227
23	frontier00242
24	frontier00243
25	frontier00250
26	frontier00348
27	frontier00349
28	frontier00351
29	frontier00354
30	frontier00357
31	frontier00363
32	frontier00364
33	frontier00365
34	frontier00369
35	frontier00370
36	frontier00474
37	frontier00475
38	frontier00476
39	frontier00477
40	frontier00478
41	frontier00479
42	frontier00480
43	frontier00481
44	frontier00482
45	frontier00483
46	frontier00494
47	frontier00495
48	frontier00602
49	frontier00603
50	frontier00604
51	frontier00605
52	frontier00606
53	frontier00607
54	frontier00608
55	frontier00609
56	frontier00610
57	frontier00622
58	frontier00726
59	frontier00727
60	frontier00728
61	frontier00729
62	frontier00732
63	frontier00733
64	frontier00734
65	frontier00738
66	frontier00746
67	frontier00856
68	frontier00857
69	frontier00858
70	frontier00860
71	frontier00862
72	frontier00863
73	frontier00864
74	frontier00865
75	frontier00871
76	frontier00984
77	frontier00986
78	frontier00987
79	frontier00988
80	frontier00989
81	frontier00990
82	frontier00991
83	frontier01002
84	frontier01005
85	frontier01112
86	frontier01114
87	frontier01116
88	frontier01119
89	frontier01120
90	frontier01127
91	frontier01133
92	frontier01240
93	frontier01241
94	frontier01242
95	frontier01243
96	frontier01245
97	frontier01249
98	frontier01251
99	frontier01256
100	frontier01258
101	frontier01260
102	frontier01369
103	frontier01370
104	frontier01371
105	frontier01372
106	frontier01373
107	frontier01374
108	frontier01375
109	frontier01376
110	frontier01377
111	frontier01378
112	frontier01389
113	frontier01498
114	frontier01499
115	frontier01500
116	frontier01501
117	frontier01502
118	frontier01503
119	frontier01504
120	frontier01507
121	frontier01508
122	frontier01517
123	frontier01586
124	frontier01587
125	frontier01588
126	frontier01592
127	frontier01609
128	frontier01645
129	frontier01720
130	frontier01722
131	frontier01725
132	frontier01727
133	frontier01741
134	frontier01851
135	frontier01853
136	frontier01902
137	frontier01903
138	frontier01965
139	frontier01966
140	frontier01967
141	frontier01969
142	frontier01971
143	frontier01981
144	frontier02005
145	frontier02006
146	frontier02009
147	frontier02010
148	frontier02017
149	frontier02038
150	frontier02039
151	frontier02089
152	frontier02091
153	frontier02092
154	frontier02097
155	frontier02103
156	frontier02158
157	frontier02159
158	frontier02162
159	frontier02219
160	frontier02220
161	frontier02222
162	frontier02223
163	frontier02291
164	frontier02292
165	frontier02299
166	frontier02300
167	frontier02350
168	frontier02351
169	frontier02352
170	frontier02356
171	frontier02417
172	frontier02421
173	frontier02425
174	frontier02429
175	frontier02487
176	frontier02490
177	frontier02491
178	frontier02551
179	frontier02553
180	frontier02558
181	frontier02620
182	frontier02621
183	frontier02637
184	frontier02684
185	frontier02685
186	frontier02740
187	frontier02741
188	frontier02742
189	frontier02744
190	frontier02749
191	frontier02764
192	frontier02810
193	frontier02816
194	frontier02854
195	frontier02855
196	frontier02859
197	frontier02860
198	frontier02868
199	frontier02872
200	frontier02987
201	frontier02988
202	frontier02989
203	frontier02990
204	frontier02991
205	frontier03107
206	frontier03109
207	frontier03110
208	frontier03111
209	frontier03116
210	frontier03127
211	frontier03240
212	frontier03242
213	frontier03243
214	frontier03244
215	frontier03247
216	frontier03252
217	frontier03254
218	frontier03260
219	frontier03368
220	frontier03369
221	frontier03370
222	frontier03375
223	frontier03377
224	frontier03384
225	frontier03385
226	frontier03499
227	frontier03512
228	frontier03622
229	frontier03623
230	frontier03628
231	frontier03630
232	frontier03633
233	frontier03635
234	frontier03636
235	frontier03674
236	frontier03675
237	frontier03676
238	frontier03681
239	frontier03684
240	frontier03685
241	frontier03772
242	frontier03775
243	frontier03780
244	frontier03781
245	frontier03782
